Sector,2011 Response status,2010 Response status,,Carbon disclosure score,Scope 3,Scope 2,Company,Non-Public,Carbon performance band,Total Emissions1,Scope 3 source type,Scope 1
Financials,AQ,AQ,,87,20675,55970,Nordea Bank,,B,56206,Tr,236
Industrials,AQ,AQ,,80,1220151.74,938599.69,Northrop Grumman,,C,1261649.69,Tr EC TSP,323050
Health Care,AQ,AQ,,94,1353000,926328,Novartis,,A,1513597,PGS Wa Tr,587269
Health Care,AQ,AQ,,89,272700,131900,Novo Nordisk,,B,179462,TI Wa Tr EC TSP Ld Oth,47562
Consumer Discretionary,AQ,AQ,,93,91000000,3287942,Panasonic,,B,4135797,PGS,847855
Consumer Staples,AQ,AQ,,90,112000,2042065,PepsiCo,,A-,6048225,Fr Oth,4006160
Energy,AQ,AQ,,81,504059819,1256221.84,PETROBRAS,,C,61213363,USP,59957141
Health Care,AQ,AQ,,81,9781207,1247985,Pfizer,,B,2707928,PGS Eq Fu TI Wa Tr EC Lu SE,1459943
Utilities,AQ,AQ,,92,48753850,997983,PG&E,,B,4216239,Fu Wa Tr USP,3218256
Consumer Staples,AQ,AQ,,83,627767,412984,Philip Morris International,,B,768773,TI Tr,355789
Consumer Discretionary,AQ,AQ,,99,911092,470216,Philips Electronics,,A,896987,TI Tr,426771
Financials,AQ,AQ,,75,107453,324951,PNC Financial Services,,B,369651,PGS Fu Tr EC,44700
Materials,AQ,AQ,,89,997720,2974000,POSCO,,A-,71679000,TI Tr EC,68705000
Consumer Discretionary,AQ,NR,,64,231826,155180,PPR,,C,197792,TI Tr,42612
Materials,AQ,AQ,,93,582025,10700000,Praxair,,A-,15050000,Eq TI Wa Tr,4350000
Financials,AQ,AQ,,58,5029,93260,Prudential,,E,108099,Tr,14839
Financials,AQ,AQ,,41,12422,78534,Prudential Financial,,-,84370,Tr,5836
Energy,AQ,AQ,,69,4790.21,1454.81,PTT Exploration & Production,,D,3732909.9,TI,3731455.09
Utilities,AQ,AQ,,79,66428619,1250417,Public Service Enterprise Group,,C,24123436,PGS Fi TI Tr EC Lu USP,22873019
Financials,AQ,AQ,,47,14034,36143,QBE Insurance Group,,-,37411,Tr,1268
Consumer Staples,AQ,AQ,,81,25928065,185774,Reckitt Benckiser,,B,290587,PGS TI Wa Tr TSP USP DSP Ld Oth,104813
Energy,AQ,AQ,,89,150295524,2058465,Repsol YPF,,B,25438767,Fu TI Tr TSP USP,23380302
Materials,AQ,AQ,,86,492000000,17000000,Rio Tinto,,B,44600000,PGS Fu TI USP,27600000
Health Care,AQ,NR,,66,171261,411985,Roche Holding,,C,865995,Tr,454010
Consumer Discretionary,AQ,AQ,,60,61384,133288,Rogers Communications,,D,172149,Wa Tr EC Oth,38861
Industrials,AQ,AQ,,75,175056020,360114,Rolls-Royce,,B,592123,TI Tr USP,232009
Financials,AQ,AQ,,71,145705,169340,Royal Bank of Canada,,D,202476,TI Tr,33136
Financials,AQ,AQ,,91,143404,624034.05,Royal Bank of Scotland Group,,B,708324.75,Fu Tr,84290.7
Energy,AQ,AQ,,90,690000,10000000,Royal Dutch Shell,,A-,85000000,Fr Oth,75000000
Utilities,AQ,AQ,,85,137.98,3100000,RWE,,B,170200000,Fu TI USP,167100000
Consumer Staples,AQ,AQ,,63,261307,1208966.66,SABMiller,,C,2353867.55,TI,1144900.89
Industrials,AQ,AQ,,94,132200,4900000,Saint-Gobain,,A-,18700000,Tr,13800000
Information Technology,AQ,AQ,,94,45706000,5876000,Samsung Electronics,,A,9910000,TI Tr USP SE,4034000
Information Technology,AQ,AQ,,96,35796,125030,SAP,,A,261033,EC TSP Oth,136003
Energy,AQ,AQ,,79,576937,10815000,Sasol,,C,74981000,TI Tr,64166000
Energy,AQ,AQ,,80,1563500,330000,Schlumberger,,B,1940000,PGS TI Tr Oth,1610000
Industrials,AQ,AQ,,91,577352,334800,Schneider Electric,,A,472300,PGS TI Tr,137500
Consumer Staples,AQ,AQ,,71,213898,2598678.96,Seven & I Holding,,C,2615712.94,TI Wa,17033.98
Industrials,AQ,AQ,,97,14203460,1841298,Siemens,,A-,3228718,PGS TI Tr,1387420
Financials,AQ,AQ,,96,11522,582837,Simon Property Group,,A-,606269,Tr EC,23432
Financials,AQ,AQ,,66,76177,173443,Societe Generale,,D,201558,PGS Tr,28115
Information Technology,AQ,AQ,,94,22381000,1283543,Sony Corporation,,A,1644726,TI Tr USP,361183
Financials,AQ,AQ,,74,7336,149366,Standard Bank Group,,C,160561,Tr Oth,11195
Financials,AQ,AQ,,77,56685,251355,Standard Chartered,,B,257673,Tr,6318
Financials,AQ,AQ,,84,20855,141071,State Street,,B,146754,Tr,5683
Energy,AQ,AQ,,60,37000,227613,Statoil,,E,14407321,Tr,14179708
Energy,AQ,AQ,,92,40728,2188938,Suncor Energy,,A-,19228524,Tr EC Oth,17039586
Financials,AQ,AQ,,76,2665.99,8152.31,Svenska Handelsbanken,,C,8169.58,TI Tr,17.27
Financials,AQ,AQ,,91,17665,16531,Swiss Re,,A,21721,Tr,5190
,AQ,AQ,,85,1570,5655,Swisscom,,B,31077,Tr,25422
Materials,AQ,AQ,,88,319000,301000,Syngenta International,,B,985000,TI Tr,684000
Financials,AQ,AQ,,74,1324,49266.01,T.GARANTI BANKASI,,C,59969.48,Tr,10703.47
Information Technology,AQ,AQ,,83,2493468,2590554,Taiwan Semiconductor Manufacturing,,B,4427145,PGS Tr TSP Oth,1836591
Health Care,AQ,AQ,,63,7719,146729,Takeda Pharmaceutical,,B,294609,TSP,147880
Consumer Discretionary,AQ,AQ,,77,22986,2714973,Target,,C,3129941,Tr,414968
Materials,AQ,AQ,,68,1886,258619,Teck,,E,2948297,Tr,2689678
,AQ,AQ,,73,85829,828260,Telecom Italia,,B,974305,Tr EC,146045
,AQ,AQ,,90,47795,1688147,Telefonica,,B,1814799,TI Tr EC,126652
,AQ,AQ,,72,25120,714463,Telenor Group,,C,1059344,Fu TI Tr,344881
,AQ,AQ,,72,35877,245669,TeliaSonera,,C,263823,PGS Tr TSP,18154
,AQ,AQ,,70,241396,1400690,Telstra Corporation,,D,1482493,Fu Wa Tr Oth,81803
Consumer Staples,AQ,AQ,,97,62233,3483297,Tesco,,A,3152927,Tr,1889765
Consumer Discretionary,AQ,AQ,,45,50525,235851,Time Warner,,-,260618,Tr,24767
Consumer Discretionary,AQ,AQ,,82,14300,698160,TJX Companies,,C,762410,Tr,64250
Financials,AQ,AQ,,79,4379,52016,Tokio Marine Holdings,,B,69145,Tr,17129
Financials,AQ,AQ,,60,38561,153716,Toronto-Dominion Bank,,C,196180,Tr Ld,42464
Information Technology,AQ,AQ,,68,59079,1943773,Toshiba,,C,2513970,TI,570197
Energy,AQ,AQ,,81,633600000,5400000,Total,,B,57000000,TSP USP,51600000
Consumer Discretionary,AQ,AQ,,73,334145,4265000,Toyota Motor,,D,7057000,TI Tr,2792000
Energy,AQ,AQ,,71,94699,6664,Transocean,,C,1768402,Tr Oth,1761738
Financials,AQ,AQ,,70,24256,370934,U.S. BanCorp,,C,411379,Tr,40445
Financials,AQ,AQ,,91,89957,248893,UBS,,A,276046,PGS Wa Tr,27153
Financials,AQ,AQ,,75,1374,95536,Unibail-Rodamco,,C,117902,Tr,22366
Financials,AQ,AQ,,70,24836,369450,Unicredit Group,,D,469550,Wa Tr Oth,100100
Industrials,AQ,AQ,,58,66336,968302,United Technologies,,D,1914377,Tr,946075
Industrials,AQ,AQ,,99,9864729,917695,UPS,,A-,12630498,Fu Tr EC TSP Fr,11712803
Materials,AQ,AQ,,93,91212923,1282372.68,VALE,,B,19993423,PGS TI Tr EC TSP PSP USP,18711050.35
Industrials,AQ,AQ,,75,12862206,178500,Vinci,,B,2150000,USP,1971500
Consumer Discretionary,AQ,AQ,,51,28430,274593,Vivendi Universal,,E,296901,Tr,22308
,AQ,AQ,,81,2295731,1911342,Vodafone Group,,B,2325463,Tr In,414121
Consumer Discretionary,AQ,AQ,,91,23456849,6307489,Volkswagen,,B,7594928,PGS TI TSP USP,1287439
Consumer Staples,AQ,AQ(SA),,51,147433,545671,Wal-Mart de Mexico,,D,1023120,TI Tr,477449
Consumer Staples,AQ,AQ,,85,42841,15482048,Wal-Mart Stores,,B,21365864,TI Tr,5883816
Health Care,AQ,AQ,,66,84493,152720,WellPoint,,D,159871,Tr EC,7151
Financials,AQ,AQ,,81,124316,1485930,Wells Fargo & Company,,A-,1602788,Tr,116858
Financials,AQ,AQ,,66,660642,2807135,Wesfarmers,,B,5510532,Fu Wa Tr,2703397
Financials,AQ,AQ,,74,175940,482582,Westfield Group,,C,513557,PGS Fu Wa Tr EC,30975
Financials,AQ,AQ,,96,70646,190592,Westpac Banking,,A,200165,Fu Wa Tr,9573
Consumer Staples,AQ,AQ,,80,724600,2515808,Woolworths,,B,3005155,TI Wa,489347
